AT,V,AP,RH
34.6,64.96,1003.3,34.32
13.89,35.71,1016.4,65.49
11.16,40.96,1023.49,83.7
5.81,45.87,1009.63,94.38
29.65,74.9,1003.22,71.09
12.04,40.23,1018.07,81.28
28.44,77.54,1011.73,77.3
14.71,52.72,1024.7,70.29
23.38,52.84,1005.27,82.98
7.04,41.74,1021.91,88.55
26.23,59.14,1016.98,75.54
18.92,46.93,1009.89,77.98
17.9,48.98,1014.17,80.4
26.71,70.72,1010.3,78.18
9.73,40.22,1011.48,87.88
22.05,59.92,1009.06,93.74
20.19,44.57,1009.2,72.13
8.36,38.91,1016.27,88.82
27.81,64.69,1006.59,71.75
29.13,70.72,1009.61,67.49
19.13,40.79,1004.47,91.7
20.76,59.21,1017.94,80.84
27.22,68.3,1016.84,64.88
28.84,73.03,1013.99,76.05
16.82,47.45,1010.19,88.48
13.42,41.74,1020.96,61.8
22.83,59.43,1005.51,83.93
18.98,38.52,1018.85,63.16
29.5,71.14,1011.27,52.81
24.8,64.63,1020.69,55.74
20.56,59.14,1016.02,68.59
32.16,71.32,1005.5,60.23
24.54,72.24,1011.43,74.1
27.18,71.06,1008.16,86.32
10.45,40.0,1019.01,89.01
18.13,39.72,1002.75,58.85
21.19,67.71,1006.65,56.28
13.95,71.14,1019.76,75.51
21.99,71.85,1009.5,74.77
23.71,67.17,1007.27,90.2
22.06,43.43,1010.46,58.01
29.6,71.58,1010.34,52.56
13.68,41.7,1019.19,84.07
24.39,71.85,1009.73,72.24
18.17,66.86,1011.29,78.48
11.28,43.41,1017.91,81.03
7.54,38.56,1016.49,69.1
27.55,64.96,999.73,57.34
26.75,70.32,1007.61,54.09
25.42,67.25,1017.92,68.61
12.42,43.14,1015.88,79.48
7.04,39.37,1019.37,69.11
23.64,58.49,1011.4,74.2
11.53,41.39,1018.39,85.52
16.7,50.66,1014.86,94.87
14.35,35.71,1016.1,60.86
26.77,64.45,1013.26,44.56
16.37,39.99,1007.05,80.61
25.94,77.24,1007.97,84.82
7.92,41.66,1014.84,76.12
8.52,41.55,1002.09,86.81
6.87,40.07,1017.91,57.64
17.11,49.78,1007.25,100.09
19.89,51.43,1007.33,92.08
15.0,41.35,1006.6,86.95
12.66,40.35,1011.37,82.77
25.21,75.6,1017.19,69.84
30.36,69.04,1009.6,58.73
23.82,64.15,1020.96,60.11
14.09,44.84,1023.65,94.29
33.12,68.31,1010.3,42.29
15.18,43.67,1011.59,92.58
29.52,77.24,1008.55,76.24
21.95,68.63,1012.8,61.55
6.69,36.24,1013.35,91.09
6.04,41.14,1027.92,87.12
9.37,42.32,1015.15,82.96
16.73,65.94,1013.79,90.19
27.12,70.32,1009.94,52.67
14.47,44.66,1016.33,93.52
12.68,43.7,1016.07,86.89
25.21,59.21,1013.19,62.85
27.37,63.73,1009.79,65.25
24.14,69.23,1012.4,73.26
17.98,59.15,1012.09,83.03
24.26,56.57,1013.86,70.35
31.46,71.29,1008.57,41.79
37.11,68.94,1006.23,31.15
14.76,43.79,1016.17,75.72
27.28,44.89,1009.02,49.9
9.44,43.99,1020.31,98.06
18.5,52.08,1006.23,100.09
31.39,69.59,1008.28,62.86
27.24,68.08,1013.23,51.96
14.46,53.82,1016.55,68.11
23.51,70.04,1011.02,81.39
15.12,41.79,1007.16,82.35
23.66,72.43,1008.0,89.49
22.5,59.54,1007.99,93.63
31.98,64.05,1010.49,58.01
28.52,70.72,1009.64,66.76
19.7,51.3,1014.88,88.1
24.61,62.39,1006.39,79.08
13.83,43.22,1010.62,70.8
10.05,37.14,1012.64,75.97
28.88,66.56,1006.26,59.15
3.91,35.47,1016.92,86.03
15.01,43.56,1014.65,61.82
29.55,72.29,1007.94,84.45
25.21,51.43,1006.43,78.55
21.87,49.39,1019.99,67.05
22.42,62.52,1016.83,63.27
14.2,42.86,1031.96,69.59
27.44,65.59,1010.76,68.67
19.69,56.65,1020.86,70.02
22.89,48.98,1014.55,48.21
6.43,39.61,1017.51,83.8
34.3,74.67,1015.98,25.89
25.69,57.32,1012.34,44.18
18.75,44.9,1007.99,75.76
26.2,71.73,1009.99,74.99
32.13,74.34,1003.34,56.39
26.12,68.51,1013.06,68.96
19.97,59.14,1016.05,70.58
33.97,72.29,1008.98,44.32
34.33,69.05,1000.89,37.9
18.77,58.66,1010.34,87.25
7.64,39.85,1012.78,88.09
18.36,56.65,1020.29,82.0
14.65,39.28,1014.04,77.98
29.39,69.89,1013.92,47.36
11.63,41.5,1013.6,87.11
20.5,51.19,1009.0,91.79
27.1,79.74,1005.43,86.05
25.76,73.5,1011.44,81.36
26.07,69.23,1013.32,54.03
22.52,64.27,1014.34,82.77
29.39,68.24,1009.06,66.76
19.54,50.66,1014.7,84.53
12.17,49.83,1008.05,96.44
14.13,48.92,1011.72,78.06
18.55,46.48,1007.34,80.67
23.4,49.16,1002.85,69.82
26.9,69.59,1008.9,85.08
20.2,64.45,1009.03,61.77
12.74,41.38,1021.92,56.67
8.55,36.25,1029.54,85.23
23.84,59.87,1019.11,59.59
28.66,50.05,1006.08,47.74
21.04,50.32,1008.41,90.19
17.88,46.97,1013.73,67.78
23.93,64.45,1015.35,54.71
25.84,67.83,1009.26,59.55
31.44,79.74,1006.95,56.99
12.02,40.66,1017.27,96.72
16.22,41.35,1000.96,79.59
29.1,70.4,1003.97,77.57
29.98,47.93,1002.46,42.73
12.3,40.69,1015.74,82.58
10.06,39.61,1020.87,74.01
29.18,68.24,1010.04,68.04
7.71,40.71,1021.53,95.48
27.83,69.04,1009.69,63.79
10.99,44.63,1020.67,90.09
26.76,49.02,1007.96,70.05
9.83,41.17,1019.34,72.29
7.82,38.91,1015.58,90.11
26.03,64.44,1012.75,62.24
7.9,43.79,1016.14,83.05
20.12,45.09,1013.73,57.78
25.95,73.77,1001.35,92.67
8.06,39.96,1024.23,94.48
6.45,35.77,1018.86,67.84
31.41,64.44,1013.84,49.49
10.01,40.78,1023.71,88.11
23.65,66.05,1019.6,78.21
8.49,43.69,1016.93,85.63
23.1,72.99,1008.85,90.54
24.79,59.21,1017.9,53.83
16.86,39.63,1004.47,83.5
13.66,45.0,1021.97,79.04
27.54,68.27,1008.12,56.42
31.48,69.75,1008.9,45.66
25.14,64.63,1020.63,54.0
21.35,57.76,1017.36,73.1
14.04,40.83,1008.98,82.04
11.01,40.22,1011.13,83.09
18.78,63.09,1019.22,80.2
28.18,60.07,1016.34,49.13
27.92,69.23,1013.21,44.43
28.09,77.95,1017.07,70.98
18.03,53.16,1013.06,82.03
25.56,50.05,1005.67,69.29
13.26,40.83,1007.97,90.63
12.53,44.03,1007.21,84.2
28.83,71.32,1006.28,75.65
22.44,58.16,1017.28,63.68
15.67,41.1,1004.1,77.93
17.55,43.14,1018.86,76.0
5.21,35.79,1012.44,94.35
24.35,58.79,1010.13,72.1
30.61,68.84,1011.18,52.5
13.72,44.47,1027.2,68.89
4.62,38.44,1016.09,73.14
25.04,66.48,1004.12,63.01
14.45,43.71,1025.26,84.23
27.19,71.32,1008.97,88.43
6.8,39.37,1020.24,73.29
20.58,50.9,1011.89,72.56
28.41,61.47,1008.94,56.56
20.5,49.69,1009.6,70.81
27.52,67.9,1005.65,59.52
19.37,63.09,1018.79,81.52
33.11,69.75,1008.88,42.08
22.99,68.67,1006.65,77.62
27.79,71.85,1008.95,87.35
22.82,64.63,1020.78,66.73
18.31,46.21,1010.46,82.15
23.39,69.13,1010.99,90.66
27.35,77.95,1017.43,73.36
9.39,41.79,1021.6,50.09
27.88,68.94,1007.68,75.68
18.24,59.15,1012.0,84.4
18.9,47.83,1005.31,77.79
22.12,63.91,1009.61,90.83
18.84,40.79,1005.18,92.46
21.89,58.62,1016.15,74.59
13.25,43.7,1013.61,76.05
26.54,71.98,1005.8,91.16
15.75,47.45,1009.86,86.68
11.64,40.22,1010.58,80.84
27.07,65.59,1012.14,63.93
24.1,52.84,1006.47,47.58
16.41,47.24,1015.75,88.78
26.49,78.92,1010.82,83.42
27.41,74.67,1016.57,80.16
21.11,58.66,1011.7,68.71
30.71,68.24,1006.15,34.15
12.99,42.34,1018.04,96.25
18.85,48.06,1012.52,67.88
10.23,41.46,1020.45,84.95
5.79,45.87,1010.23,95.41
25.87,44.57,1007.43,55.92
14.66,47.83,1006.15,91.98
28.47,69.23,1013.18,40.73
10.28,39.64,1010.45,74.15
15.45,45.0,1023.63,70.74
32.55,73.03,1014.36,44.83
22.84,67.32,1013.77,64.67
17.43,63.09,1019.87,92.77
10.73,40.35,1012.27,89.65
6.4,39.9,1007.75,86.55
7.38,44.71,1020.27,70.55
18.06,43.14,1013.95,62.21
20.36,66.05,1015.86,87.19
25.1,71.77,1004.34,82.8
25.62,63.13,1013.84,83.49
30.4,77.3,1002.44,59.42
27.71,54.2,1012.72,47.25
19.11,58.95,1017.07,85.49
17.48,44.71,1014.99,36.71
10.44,37.83,1006.31,97.2
9.86,42.49,1009.16,81.41
10.05,40.71,1015.51,84.21
19.13,66.86,1012.95,71.24
17.93,44.63,1003.54,87.41
32.96,68.31,1010.39,42.33
28.72,68.14,1005.82,46.52
30.04,67.25,1017.65,52.84
7.85,37.8,1020.9,59.19
27.37,71.06,1008.4,87.52
19.71,43.43,1009.58,65.71
11.24,42.34,1021.3,95.19
22.69,48.14,1013.7,62.05
32.34,74.99,1002.77,42.83
8.51,40.81,1015.54,83.16
24.42,57.32,1011.46,55.92
13.35,39.18,1023.24,61.98
8.57,40.69,1020.87,84.15
9.68,39.61,1015.63,74.5
14.91,39.28,1014.57,75.23
18.28,45.0,1022.47,43.03
23.77,51.43,1006.67,84.09
8.95,43.13,1017.56,94.85
21.11,58.12,1015.38,77.78
15.49,39.0,1016.01,71.31
21.95,60.95,1015.22,75.09
24.56,58.82,1011.42,72.47
27.18,59.27,1012.57,64.18
19.94,58.96,1014.16,66.27
30.28,70.98,1007.51,74.28
9.64,39.35,1015.1,91.76
11.42,40.43,1025.5,75.85
19.45,58.95,1017.79,93.46
13.25,44.92,1024.11,89.34
26.62,65.12,1016.0,43.24
20.24,56.03,1019.78,59.8
23.63,58.79,1017.2,67.68
30.44,68.84,1010.97,55.34
26.93,67.07,1005.65,60.26
23.04,48.06,1014.16,54.99
31.01,74.16,1010.89,56.52
29.3,70.04,1010.95,61.23
27.05,75.33,1003.88,82.94
23.91,67.69,1008.28,66.71
21.6,62.52,1017.23,67.87
29.49,70.98,1007.83,79.08
8.14,37.49,1009.04,80.33
18.55,61.87,1008.45,65.3
26.75,58.33,1013.55,45.47
11.37,39.16,1016.54,87.05
9.97,41.62,1013.99,96.02
18.32,65.94,1012.74,86.77
13.43,43.69,1016.21,73.01
17.1,48.98,1016.48,85.63
20.98,60.07,1016.26,67.18
24.18,66.48,1004.0,64.86
29.52,64.79,1017.53,44.83
27.57,69.84,1004.91,68.37
26.76,70.98,1007.64,90.51
12.08,40.24,1016.63,92.32
19.8,57.25,1010.84,88.9
22.63,58.49,1010.94,72.7
25.68,70.17,1001.38,85.89
26.55,69.45,1013.88,55.39
27.43,63.87,1017.6,43.33
24.2,59.07,1009.25,88.25
28.21,73.06,1008.26,86.29
17.67,43.96,1011.68,82.13
5.23,40.78,1025.13,92.74
18.58,46.97,1014.25,74.09
23.19,49.82,1014.59,70.52
12.82,41.58,1020.37,81.06
7.92,39.54,1011.51,84.41
6.49,39.33,1010.85,91.85
26.95,70.8,1009.73,82.95
14.19,49.83,1006.52,90.72
15.24,45.87,1009.46,85.95
10.8,40.22,1011.25,84.57
33.94,74.67,1015.94,28.16
31.44,64.44,1014.04,49.15
16.52,53.16,1014.68,76.82
5.02,45.87,1007.8,99.22
7.61,44.71,1019.41,70.48
10.69,36.71,1022.08,83.28
30.72,71.58,1009.98,50.39
8.69,41.04,1026.87,80.28
29.6,71.14,1011.46,52.69
10.39,39.69,1003.31,89.6
26.94,66.48,1005.46,60.62
20.96,61.27,1019.99,67.32
19.76,51.19,1008.38,92.56
11.2,41.38,1021.65,61.89
14.1,44.92,1023.95,89.5
26.24,49.82,1014.9,55.58
7.41,40.71,1023.07,83.32
25.28,49.5,1013.95,52.79
8.86,40.23,1017.57,90.47
21.09,59.8,1016.94,76.95
12.99,44.0,1025.22,90.27
13.0,39.85,1012.57,61.56
15.21,35.4,1016.31,58.26
17.18,40.55,1000.47,72.03
23.84,63.47,1012.54,76.33
11.73,40.64,1020.68,96.98
24.39,63.77,1013.3,77.53
28.42,75.23,1010.25,56.8
18.8,39.72,1001.24,63.8
31.67,69.68,1012.38,46.52
31.19,69.68,1012.6,52.06
29.13,68.3,1014.96,37.08
27.26,66.56,1007.83,60.95
23.6,65.48,1017.44,61.26
23.9,61.47,1009.01,81.05
17.28,44.92,1024.39,76.08
16.24,41.93,1021.66,44.91
8.83,36.3,1027.08,72.69
9.53,38.38,1020.49,80.08
11.56,41.62,1012.5,91.42
7.53,41.16,1023.19,91.28
22.49,45.61,1013.1,75.69
30.14,67.69,1006.54,57.05
24.22,56.89,1013.81,70.02
15.76,44.89,1010.33,85.06
6.76,39.22,1013.91,77.0
12.75,44.2,1017.59,81.22
12.42,41.58,1019.49,86.31
8.05,40.8,1028.01,89.56
14.1,41.16,1021.26,73.87
13.08,43.14,1019.39,99.74
22.85,60.08,1018.05,67.12
18.88,40.79,1004.98,92.65
10.05,41.58,1021.35,95.19
26.42,59.54,1007.02,76.28
32.18,69.75,1009.94,52.91
14.66,42.07,1018.14,84.68
9.34,40.77,1012.14,90.81
12.27,43.8,1023.21,57.0
25.56,74.67,1016.62,76.1
25.76,63.94,1018.49,42.14
26.12,63.31,1013.97,51.6
26.92,73.17,1011.42,76.94
26.9,77.95,1017.47,75.58
16.3,41.16,1007.88,76.61
23.75,66.54,1004.41,85.44
13.83,38.73,999.62,91.95
9.73,41.01,1021.76,97.71
16.83,46.48,1007.21,87.23
19.72,46.21,1010.54,77.74
31.25,74.34,999.06,69.85
10.9,41.93,1014.96,96.24
10.67,45.0,1022.99,85.91
13.8,40.2,1013.12,90.59
28.71,71.64,1005.21,71.11
24.98,58.98,1010.34,78.56
20.32,49.16,1007.47,91.12
20.48,39.72,1001.61,57.32
21.97,58.79,1010.93,86.7
17.65,62.1,1019.63,84.3
8.3,40.35,1012.37,98.17
26.78,66.54,1010.14,49.01
17.46,39.54,1008.21,74.24
30.07,69.82,1010.39,57.53
19.51,66.51,1015.28,80.75
12.45,40.56,1017.84,66.52
21.01,50.9,1012.24,70.82
28.39,65.51,1014.52,66.48
10.12,41.55,1005.78,62.34
24.54,44.89,1010.05,59.13
10.15,41.62,1015.86,97.4
6.1,39.33,1010.4,95.34
22.48,50.05,1005.55,82.36
23.82,60.32,1016.61,75.29
20.29,63.09,1019.03,76.07
16.79,49.25,1021.21,68.8
22.46,48.41,1008.66,80.85
21.09,46.63,1013.03,74.8
9.7,40.11,1026.61,75.48
20.2,50.9,1011.72,77.63
18.15,41.67,1012.75,52.69
23.79,48.06,1012.92,60.03
28.12,44.89,1009.18,47.14
8.48,42.49,1010.77,88.68
12.71,43.8,1023.15,71.16
14.6,39.31,1011.11,72.52
31.3,67.17,1007.27,62.99
27.78,72.43,1006.72,74.53
14.08,39.31,1011.67,72.0
25.21,60.37,1006.01,73.14
17.42,44.06,1016.63,82.15
20.25,63.91,1009.27,97.97
26.88,60.96,1012.1,57.9
24.62,72.24,1011.39,83.94
16.58,41.93,1022.36,45.24
26.81,71.29,1009.65,80.69
29.26,67.17,1006.6,70.58
30.98,67.45,1015.18,45.4
31.16,64.96,1001.71,44.85
24.06,71.25,1002.39,92.18
27.41,69.98,1008.51,65.49
16.0,43.02,1012.37,39.2
24.4,71.14,1009.7,59.26
30.3,73.67,1005.57,58.74
26.9,66.48,1004.47,54.71
20.04,48.92,1011.14,68.92
28.01,64.69,1007.61,58.45
19.82,57.85,1011.58,97.23
27.31,59.54,1006.24,71.99
11.87,41.58,1017.29,90.3
20.77,45.87,1008.07,76.22
14.32,40.78,1024.49,73.84
16.25,58.86,1015.94,86.52
12.19,40.05,1014.65,85.1
17.48,58.95,1016.49,90.35
14.38,40.66,1016.34,92.37
22.69,49.21,1012.64,46.83
13.94,41.58,1020.76,68.22
17.26,49.78,1007.38,100.06
17.83,44.92,1025.04,70.58
16.7,46.18,1011.4,95.51
22.69,64.45,1012.82,45.03
12.04,40.1,1014.42,89.65
27.11,69.75,1009.74,85.67
17.32,43.7,1015.13,61.66
22.95,66.54,1004.53,88.06
24.81,63.94,1018.76,44.51
21.97,69.23,1012.25,86.45
7.6,41.04,1021.82,88.97
7.72,41.14,1025.11,96.75
28.24,65.74,1013.4,64.87
23.55,65.94,1011.76,58.44
14.62,46.18,1014.75,96.81
11.61,39.69,1006.85,83.69
23.78,69.71,1008.79,83.17
24.74,69.13,1010.69,90.08
23.74,62.96,1019.65,63.39
21.43,46.97,1013.94,61.25
12.24,34.03,1018.44,69.27
31.43,69.89,1014.8,56.22
9.45,41.92,1029.32,91.09
15.64,44.21,1020.17,83.28
27.75,70.4,1006.65,90.21
31.31,64.44,1014.24,51.08
26.22,65.34,1015.17,47.25
8.27,35.76,1020.11,75.25
33.79,69.05,1001.62,40.13
23.24,51.95,1006.21,78.08
22.74,58.12,1015.16,79.58
7.91,38.56,1016.48,68.94
17.74,49.69,1006.09,80.7
23.56,42.67,1008.01,66.76
26.38,71.73,1010.04,69.45
27.2,49.16,1005.33,46.73
19.15,57.76,1019.62,74.89
20.14,65.06,1014.81,80.01
27.99,66.91,1008.47,59.63
29.09,72.43,1006.86,65.47
9.18,42.18,1017.4,87.3
21.43,59.14,1015.91,64.4
24.25,74.93,1013.07,69.31
21.38,44.05,1005.69,81.66
24.66,60.29,1018.0,59.56
23.51,58.79,1016.44,65.38
30.28,58.9,1005.03,54.59
22.24,60.07,1015.93,62.25
28.02,63.9,1013.96,46.2
26.43,51.43,1006.3,71.48
18.03,58.86,1015.99,89.03
21.19,55.5,1019.83,65.22
24.14,62.66,1007.33,73.27
22.64,62.44,1011.82,75.07
21.64,50.32,1008.41,86.32
13.7,45.64,1019.18,92.66
24.86,63.47,1011.5,71.78
23.07,65.46,1014.07,46.77
7.11,43.13,1018.96,87.82
15.34,36.99,1007.87,94.59
30.67,72.86,1004.25,52.72
13.98,41.79,1010.6,83.84
14.11,45.08,1023.27,83.22
23.22,66.56,1002.47,85.39
11.7,25.36,1008.65,92.11
27.38,59.21,1012.74,53.53
27.2,72.43,1006.75,80.67
27.4,66.48,1004.71,51.5
30.18,65.74,1012.63,47.74
17.27,44.9,1007.85,78.8
30.83,71.58,1009.92,48.8
27.75,69.89,1015.41,73.01
26.34,69.45,1013.87,54.15
13.77,47.83,1007.41,90.66
33.82,73.03,1013.49,42.17
22.06,64.15,1021.07,68.66
7.64,43.79,1016.17,84.45
15.19,41.43,1011.34,89.67
26.5,66.05,1017.03,61.34
14.58,42.07,1017.9,86.14
10.15,41.46,1019.78,83.56
20.51,48.6,1005.29,80.7
15.02,41.48,1015.19,58.69
24.29,62.91,1013.04,65.85
23.19,48.6,1002.38,61.19
27.34,71.64,1008.12,72.22
29.71,73.18,1012.35,63.06
20.6,66.86,1013.08,62.48
12.38,41.62,1012.37,84.15
14.86,37.85,1010.58,86.8
21.89,74.78,1010.35,80.39
25.79,63.9,1014.39,60.49
28.4,75.23,1011.12,55.01
11.02,41.44,1015.28,83.53
13.35,39.64,1010.1,93.3
28.37,63.31,1013.18,49.02
8.85,40.22,1008.61,90.6
25.18,65.06,1013.64,55.77
18.34,65.94,1013.27,85.42
10.19,37.14,1012.74,73.48
10.84,40.27,1005.24,87.27
23.86,45.87,1007.71,48.73
13.51,44.9,1019.29,77.24
23.24,45.01,1012.21,45.23
24.56,71.94,1006.81,89.59
10.2,40.67,1016.15,73.2
25.06,65.46,1014.37,38.82
13.8,42.99,1007.16,67.28
6.49,35.57,1025.4,79.67
31.33,73.03,1014.18,49.28
22.08,69.94,1008.41,72.86
5.89,39.48,1005.11,59.83
11.76,40.96,1023.22,81.31
12.24,40.96,1023.52,81.09
29.75,73.5,1011.13,67.31
12.88,42.74,1026.25,74.54
20.24,56.65,1020.72,62.9
3.51,35.47,1017.53,86.56
14.46,45.87,1008.26,89.44
27.2,65.18,1011.47,47.14
26.02,74.78,1010.04,72.78
24.26,66.44,1011.33,55.32
28.61,69.84,1004.24,67.74
33.43,66.44,1010.29,53.45
7.64,42.28,1008.46,84.29
27.29,64.45,1013.46,45.35
15.27,56.89,1013.28,86.92
32.49,74.99,1002.19,34.58
14.92,46.18,1014.21,98.82
24.81,66.44,1011.19,69.96
12.11,41.17,1019.46,62.59
27.5,49.3,1004.02,59.23
21.95,59.43,1010.29,74.67
9.05,40.0,1015.48,80.91
33.83,67.9,1005.94,29.86
22.29,61.27,1019.05,58.23
8.14,41.26,1020.61,91.28
25.87,67.79,1011.16,79.88
24.7,50.23,1016.23,62.03
28.97,67.9,1006.19,65.81
18.71,53.16,1013.26,82.64
19.48,39.72,1001.75,55.41
13.41,39.35,1015.1,79.32
22.61,59.87,1019.12,66.12
19.46,66.86,1012.74,66.2
10.67,40.23,1017.75,85.06
9.43,43.69,1017.28,91.8
14.09,41.2,1016.45,67.27
23.83,71.37,1002.04,64.78
24.82,66.48,1006.4,70.21
14.47,42.86,1031.55,66.73
34.09,68.51,1009.0,32.96
28.75,57.55,1004.77,57.55
29.45,69.13,1009.3,52.97
27.6,73.42,1011.91,83.66
17.49,63.94,1020.02,82.6
7.97,38.5,1013.84,72.36
9.55,41.44,1015.07,85.94
19.24,58.33,1013.65,85.47
18.6,43.56,1013.9,51.16
19.18,58.2,1017.46,76.72
24.43,59.87,1019.08,60.57
22.1,68.63,1015.19,59.05
13.51,43.41,1015.94,75.22
6.93,38.68,1017.61,61.28
17.36,39.53,1008.28,68.87
16.98,44.85,1015.48,51.77
6.64,39.04,1018.84,74.94
10.2,41.46,1020.23,84.54
29.77,69.48,1009.8,52.6
25.03,60.84,1017.69,59.23
17.74,58.33,1013.55,81.8
20.33,57.76,1016.47,75.35
23.71,68.63,1014.54,46.04
19.64,44.6,1015.88,47.56
14.0,40.8,1026.17,54.82
15.79,49.15,1020.62,76.22
9.2,40.77,1011.88,89.86
16.61,50.9,1013.18,85.26
9.78,41.93,1023.18,75.05
27.32,73.42,1012.07,86.3
13.89,44.84,1023.66,92.97
10.32,39.28,1016.56,94.13
9.0,36.3,1027.11,75.89
29.7,57.35,1005.63,57.35
21.33,60.1,1010.97,78.36
22.79,68.63,1012.99,55.78
9.95,43.56,1014.85,82.62
14.82,44.58,1020.13,74.88
28.29,47.93,1002.6,53.23
2.71,39.42,1026.66,81.11
22.72,62.4,1010.28,80.79
27.36,66.54,1011.31,45.3
18.88,43.69,1016.77,46.88
26.11,47.43,1009.01,56.09
16.48,48.92,1011.84,64.16
11.45,41.17,1017.98,84.64
12.78,41.04,1025.16,85.14
32.81,77.17,1009.17,53.13
10.18,40.81,1015.79,81.42
23.62,61.87,1010.07,48.77
19.05,53.16,1013.22,82.8
14.02,40.66,1017.05,84.14
24.54,48.06,1013.02,55.18
12.91,42.07,1018.4,86.5
7.35,41.66,1015.55,79.67
18.85,44.63,1009.06,84.75
23.04,57.32,1011.23,64.27
14.6,53.82,1016.28,64.83
28.18,71.14,1011.56,48.03
19.31,52.72,1024.93,53.93
30.76,73.17,1009.89,50.43
26.63,73.68,1015.15,85.13
26.94,59.87,1011.66,58.34
26.05,44.89,1009.83,56.36
24.07,71.97,1008.83,94.87
27.97,66.17,1010.81,63.73
17.82,65.48,1019.64,86.6
6.3,39.33,1010.63,94.26
14.12,42.86,1011.84,88.29
24.13,48.98,1014.74,40.13
29.45,75.6,1018.12,50.68
7.24,39.04,1019.0,68.69
18.62,44.06,1017.76,64.59
23.39,63.94,1010.54,89.94
27.01,52.3,1007.78,60.38
12.75,44.03,1007.29,89.46
29.55,67.69,1004.88,48.68
21.73,61.45,1010.27,91.59
27.3,65.12,1016.24,44.87
20.08,58.79,1017.32,81.59
24.43,67.25,1017.99,74.27
22.76,49.21,1014.35,48.85
22.07,60.08,1017.68,71.23
9.99,41.82,1033.14,68.36
9.32,36.66,1027.46,70.76
25.86,59.92,1009.92,73.95
10.87,38.38,1020.85,69.78
17.68,44.92,1024.55,69.7
31.55,69.75,1010.12,58.36
18.26,59.15,1012.04,86.01
21.53,70.02,1010.33,95.95
27.55,68.08,1011.42,60.71
24.46,68.61,1011.02,76.66
25.59,65.46,1014.47,37.89
15.71,40.12,1012.81,97.46
10.98,37.5,1011.12,97.51
13.85,48.06,1011.13,75.2
23.49,49.3,1003.35,77.96
25.6,58.46,1016.34,66.6
22.98,73.17,1011.94,90.13
24.37,65.61,1014.5,65.67
25.61,52.36,1014.1,62.9
17.95,49.21,1012.05,59.44
12.85,41.14,1027.04,86.29
20.73,59.87,1019.08,80.48
16.5,49.39,1018.35,93.42
22.69,65.12,1016.35,72.02
28.19,67.45,1013.97,49.76
25.11,58.79,1015.99,60.55
23.39,64.63,1020.45,58.22
12.15,45.01,1018.89,90.02
22.49,62.96,1020.21,78.99
23.27,67.9,1006.17,71.01
14.78,38.58,1017.02,82.4
17.89,44.78,1010.03,53.78
17.48,46.21,1014.02,80.78
20.2,60.1,1010.66,84.24
25.87,57.32,1012.06,44.13
10.57,36.71,1022.11,82.39
14.95,39.31,1009.15,75.3
17.69,46.36,1019.55,86.64
10.27,38.38,1022.16,70.77
13.74,44.21,1023.26,84.2
11.54,40.05,1014.78,87.05
22.1,58.33,1013.71,69.09
28.69,67.79,1011.01,66.4
7.92,42.28,1008.55,81.68
22.99,56.57,1013.93,78.77
28.38,72.39,998.93,73.85
18.23,62.26,1011.48,91.35
6.22,38.68,1017.87,69.41
6.9,40.71,1021.78,94.8
23.89,64.27,1013.37,75.22
27.01,69.75,1009.78,81.29
21.44,50.78,1008.87,87.56
25.63,69.89,1015.17,77.42
26.7,66.56,1005.31,71.97
25.74,68.94,1007.7,67.56
5.82,41.38,1021.06,86.91
16.27,56.89,1013.74,84.36
13.11,38.73,1005.89,89.02
23.19,60.75,1008.33,82.0
25.79,75.6,1017.46,75.63
16.0,39.16,1016.37,77.63
10.04,39.66,1015.84,82.31
14.97,43.67,1011.13,87.33
25.44,69.59,1008.22,80.73
24.27,63.87,1018.88,53.96
21.69,69.94,1010.7,80.8
15.8,41.1,1003.0,77.36
21.69,47.45,1007.56,77.2
13.88,39.16,1010.8,75.69
21.96,58.79,1012.1,88.74
13.05,44.34,1018.47,81.2
24.57,51.95,1005.8,70.07
22.1,65.94,1009.79,67.57
25.94,60.75,1007.22,64.76
12.06,48.04,1010.01,100.13
14.93,42.44,1012.65,86.8
23.03,65.12,1016.29,69.8
3.0,39.64,1011.0,80.14
32.09,69.4,1003.1,56.91
24.35,66.49,1012.48,62.12
29.24,69.05,1003.12,43.18
28.56,74.22,1007.45,69.6
17.66,62.1,1019.49,86.3
26.76,71.94,1008.81,64.62
26.44,54.2,1012.65,48.02
15.56,40.12,1013.72,89.78
8.22,40.77,1009.11,95.61
21.87,69.45,1014.04,71.19
11.75,71.14,1019.36,75.68
11.34,45.17,1018.32,96.24
17.47,63.31,1015.28,88.22
20.27,63.56,1014.24,86.55
10.98,41.54,1019.94,69.83
20.55,46.21,1013.21,73.18
12.38,45.09,1013.26,90.55
17.51,58.86,1016.78,83.63
16.39,52.75,1024.42,54.61
21.7,64.44,1014.95,73.33
5.66,40.62,1015.87,84.97
24.35,58.49,1011.03,70.64
14.88,41.66,1009.4,67.15
21.45,45.09,1013.83,52.26
27.95,77.54,1010.12,78.97
31.74,79.74,1007.07,61.47
21.01,51.19,1008.44,81.49
20.68,42.04,1010.2,63.43
20.79,65.59,1014.9,77.0
30.99,68.51,1008.0,71.35
6.26,41.31,1002.04,87.54
23.64,63.31,1014.5,61.83
14.28,37.2,1013.96,82.71
5.56,45.87,1006.99,96.48
